313,0.58848
314,0.58675
315,0.58502
316,0.58328
317,0.58155
318,0.57982
319,0.57808
320,0.57635
321,0.57538
322,0.57442
323,0.57346
324,0.57251
325,0.57157
326,0.57064
327,0.56971
328,0.56879
329,0.56788
330,0.56698
331,0.56659
332,0.56621
333,0.56584
334,0.56547
335,0.56511
336,0.56476
337,0.56441
338,0.56406
339,0.56372
340,0.56339
341,0.56378
342,0.56417
343,0.56457
344,0.56497
345,0.56537
346,0.56578
347,0.56619
348,0.5666
349,0.56702
350,0.56743
351,0.56927
352,0.5711
353,0.57292
354,0.57475
355,0.57656
356,0.57838
357,0.58018
358,0.58198
359,0.58378
360,0.58557
361,0.58503
362,0.58469
363,0.58455
364,0.5846
365,0.58484
366,0.58525
367,0.58583
368,0.58656
369,0.58745
370,0.58848
371,0.58423
372,0.58005
373,0.57596
374,0.57197
375,0.56809
376,0.56433
377,0.5607
378,0.55721
379,0.55386
380,0.55068
381,0.54716
382,0.54361
383,0.54004
384,0.53644
385,0.53282
386,0.52918
387,0.52551
388,0.52183
389,0.51813
390,0.51441
391,0.51184
392,0.50925
393,0.50663
394,0.50399
395,0.50132
396,0.49863
397,0.49592
398,0.49318
399,0.49041
400,0.48762
401,0.48578
402,0.48392
403,0.48205
404,0.48016
405,0.47827
406,0.47636
407,0.47444
408,0.47251
409,0.47056
410,0.4686
411,0.46713
412,0.46566
413,0.46417
414,0.46268
415,0.46118
416,0.45968
417,0.45817
418,0.45665
419,0.45512
420,0.45358
421,0.45234
422,0.45109
423,0.44984
424,0.44859
425,0.44733
426,0.44606
427,0.44479
428,0.44351
429,0.44223
430,0.44094
431,0.4399
432,0.43886
433,0.43781
434,0.43676
435,0.4357
436,0.43465
437,0.43358
438,0.43252
439,0.43145
440,0.43038
441,0.42943
442,0.42848
443,0.42753
444,0.42657
445,0.42561
446,0.42465
447,0.42368
448,0.42272
449,0.42175
450,0.42077
451,0.41994
452,0.4191
453,0.41825
454,0.41741
455,0.41656
456,0.41571
457,0.41486
458,0.41401
459,0.41315
460,0.41229
461,0.41155
462,0.41081
463,0.41006
464,0.40931
465,0.40856
466,0.40781
467,0.40705
468,0.4063
469,0.40554
470,0.40478
471,0.40412
472,0.40346
473,0.4028
474,0.40214
475,0.40147
476,0.40081
477,0.40014
478,0.39947
479,0.3988
480,0.39813
481,0.39754
482,0.39694
483,0.39635
484,0.39575
485,0.39515
486,0.39455
487,0.39395
488,0.39335
489,0.39274
490,0.39214
491,0.39165
492,0.39115
493,0.39066
494,0.39017
495,0.38967
496,0.38918
497,0.38868
498,0.38819
499,0.38769
500,0.38719
501,0.38672
502,0.38625
503,0.38578
504,0.3853
505,0.38483
506,0.38435
507,0.38388
508,0.3834
509,0.38292
510,0.38245
511,0.38201
512,0.38158
513,0.38114
514,0.38071
515,0.38028
516,0.37984
517,0.3794
518,0.37897
519,0.37853
520,0.37809
521,0.37771
522,0.37732
523,0.37694
524,0.37655
525,0.37617
526,0.37578
527,0.3754
528,0.37501
529,0.37462
530,0.37423
531,0.37387
532,0.37351
533,0.37315
534,0.37279
535,0.37243
536,0.37207
537,0.3717
538,0.37134
539,0.37098
540,0.37062
541,0.37029
542,0.36996
543,0.36963
544,0.36931
545,0.36898
546,0.36865
547,0.36832
548,0.36799
549,0.36767
550,0.36734
551,0.36703
552,0.36673
553,0.36643
554,0.36613
555,0.36583
556,0.36552
557,0.36522
558,0.36492
559,0.36461
560,0.36431
561,0.36403
562,0.36374
563,0.36346
564,0.36317
565,0.36288
566,0.3626
567,0.36231
568,0.36203
569,0.36174
570,0.36145
571,0.36119
572,0.36093
573,0.36068
574,0.36042
575,0.36016
576,0.3599
577,0.35964
578,0.35938
579,0.35912
580,0.35886
581,0.35862
582,0.35838
583,0.35814
584,0.35789
585,0.35765
586,0.35741
587,0.35717
588,0.35693
589,0.35668
590,0.35644
591,0.35622
592,0.356
593,0.35577
594,0.35555
595,0.35532
596,0.3551
597,0.35488
598,0.35465
599,0.35443
600,0.3542
601,0.35399
602,0.35377
603,0.35356
604,0.35334
605,0.35313
606,0.35291
607,0.3527
608,0.35248
609,0.35227
610,0.35205
611,0.35185
612,0.35166
613,0.35146
614,0.35126
615,0.35107
616,0.35087
617,0.35067
618,0.35048
619,0.35028
620,0.35008
621,0.34989
622,0.34971
623,0.34952
624,0.34933
625,0.34914
626,0.34895
627,0.34877
628,0.34858
629,0.34839
630,0.3482
631,0.34802
632,0.34784
633,0.34767
634,0.34749
635,0.34731
636,0.34713
637,0.34695
638,0.34677
639,0.34659
640,0.34641
641,0.34624
642,0.34607
643,0.3459
644,0.34573
645,0.34556
646,0.34539
647,0.34522
648,0.34505
649,0.34488
650,0.34471
651,0.34455
652,0.34439
653,0.34423
654,0.34407
655,0.34391
656,0.34375
657,0.34359
658,0.34343
659,0.34327
660,0.34311
661,0.34296
662,0.34281
663,0.34266
664,0.3425
665,0.34235
666,0.3422
667,0.34205
668,0.3419
669,0.34175
670,0.3416
671,0.34145
672,0.34129
673,0.34114
674,0.34099
675,0.34084
676,0.34069
677,0.34054
678,0.34038
679,0.34023
680,0.34008
681,0.33994
682,0.3398
683,0.33965
684,0.33951
685,0.33937
686,0.33923
687,0.33908
688,0.33894
689,0.3388
690,0.33866
691,0.33854
692,0.33841
693,0.33829
694,0.33817
695,0.33805
696,0.33792
697,0.3378
698,0.33768
699,0.33756
700,0.33743
701,0.3373
702,0.33717
703,0.33704
704,0.3369
705,0.33677
706,0.33664
707,0.3365
708,0.33637
709,0.33624
710,0.33611
711,0.33599
712,0.33588
713,0.33577
714,0.33565
715,0.33554
716,0.33543
717,0.33532
718,0.3352
719,0.33509
720,0.33498
721,0.33486
722,0.33475
723,0.33464
724,0.33453
725,0.33441
726,0.3343
727,0.33419
728,0.33407
729,0.33396
730,0.33385
731,0.33374
732,0.33364
733,0.33354
734,0.33343
735,0.33333
736,0.33323
737,0.33312
738,0.33302
739,0.33292
740,0.33281
741,0.33271
742,0.33261
743,0.3325
744,0.3324
745,0.3323
746,0.33219
747,0.33209
748,0.33199
749,0.33188
750,0.33178
751,0.33169
752,0.33159
753,0.3315
754,0.33141
755,0.33131
756,0.33122
757,0.33113
758,0.33103
759,0.33094
760,0.33085
761,0.33075
762,0.33066
763,0.33057
764,0.33047
765,0.33038
766,0.33029
767,0.33019
768,0.3301
769,0.33
770,0.32991
771,0.32983
772,0.32974
773,0.32966
774,0.32958
775,0.32949
776,0.32941
777,0.32933
778,0.32924
779,0.32916
780,0.32908
781,0.32899
782,0.32891
783,0.32883
784,0.32874
785,0.32866
786,0.32858
787,0.32849
788,0.32841
789,0.32833
790,0.32824
791,0.32816
792,0.32807
793,0.32799
794,0.32791
795,0.32782
796,0.32774
797,0.32766
798,0.32757
799,0.32749
800,0.32741
801,0.32733
802,0.32726
803,0.32719
804,0.32711
805,0.32704
806,0.32697
807,0.32689
808,0.32682
809,0.32674
810,0.32667
811,0.3266
812,0.32652
813,0.32645
814,0.32638
815,0.3263
816,0.32623
817,0.32616
818,0.32608
819,0.32601
820,0.32594
821,0.32586
822,0.32579
823,0.32572
824,0.32564
825,0.32557
826,0.32549
827,0.32542
828,0.32535
829,0.32527
830,0.3252
831,0.32513
832,0.32505
833,0.32498
834,0.3249
835,0.32483
836,0.32476
837,0.32468
838,0.32461
839,0.32454
840,0.32446
841,0.3244
842,0.32433
843,0.32427
844,0.32421
845,0.32414
846,0.32408
847,0.32402
848,0.32395
849,0.32389
850,0.32383
851,0.32376
852,0.3237
853,0.32364
854,0.32357
855,0.32351
856,0.32345
857,0.32338
858,0.32332
859,0.32326
860,0.32319
861,0.32314
862,0.32309
863,0.32303
864,0.32298
865,0.32293
866,0.32288
867,0.32282
868,0.32277
869,0.32272
870,0.32266
871,0.3226
872,0.32254
873,0.32247
874,0.32241
875,0.32235
876,0.32228
877,0.32222
878,0.32215
879,0.32209
880,0.32203
881,0.32197
882,0.32192
883,0.32187
884,0.32181
885,0.32176
886,0.32171
887,0.32166
888,0.3216
889,0.32155
890,0.3215
891,0.32144
892,0.32139
893,0.32134
894,0.32128
895,0.32123
896,0.32118
897,0.32112
898,0.32107
899,0.32102
900,0.32096
